دست,بازیکن,کارت‌های دست بازیکن,کارت‌های بازی‌شده,خال حکم,کارت بازی‌شده توسط بازیکن,برنده دست
11,3,,"ملکه پیک, شاه خشت, 3 پیک, 8 دل, ملکه دل, 3 دل, 3 گشنیز, آس خشت, شاه پیک, 2 پیک, 6 خشت, 7 دل, 8 خشت, 10 پیک, 6 دل, 4 دل, آس گشنیز, سرباز دل, سرباز پیک, 4 خشت, آس پیک, 7 پیک, 7 خشت, شاه گشنیز, 8 گشنیز, 4 پیک, 3 خشت, ملکه خشت, 10 دل, شاه دل, 2 دل, آس دل, 5 پیک, 5 خشت, 9 پیک, 9 دل, 2 گشنیز, 10 خشت, 5 دل, 6 گشنیز, 9 خشت, ملکه گشنیز, 5 گشنیز, 2 خشت, سرباز خشت, 6 پیک, 10 گشنیز, سرباز گشنیز, 7 گشنیز, 8 پیک, 9 گشنیز, 4 گشنیز",خشت,2 خشت,2
12,0,,"ملکه پیک, شاه خشت, 3 پیک, 8 دل, ملکه دل, 3 دل, 3 گشنیز, آس خشت, شاه پیک, 2 پیک, 6 خشت, 7 دل, 8 خشت, 10 پیک, 6 دل, 4 دل, آس گشنیز, سرباز دل, سرباز پیک, 4 خشت, آس پیک, 7 پیک, 7 خشت, شاه گشنیز, 8 گشنیز, 4 پیک, 3 خشت, ملکه خشت, 10 دل, شاه دل, 2 دل, آس دل, 5 پیک, 5 خشت, 9 پیک, 9 دل, 2 گشنیز, 10 خشت, 5 دل, 6 گشنیز, 9 خشت, ملکه گشنیز, 5 گشنیز, 2 خشت, سرباز خشت, 6 پیک, 10 گشنیز, سرباز گشنیز, 7 گشنیز, 8 پیک, 9 گشنیز, 4 گشنیز",خشت,سرباز خشت,2
12,1,,"ملکه پیک, شاه خشت, 3 پیک, 8 دل, ملکه دل, 3 دل, 3 گشنیز, آس خشت, شاه پیک, 2 پیک, 6 خشت, 7 دل, 8 خشت, 10 پیک, 6 دل, 4 دل, آس گشنیز, سرباز دل, سرباز پیک, 4 خشت, آس پیک, 7 پیک, 7 خشت, شاه گشنیز, 8 گشنیز, 4 پیک, 3 خشت, ملکه خشت, 10 دل, شاه دل, 2 دل, آس دل, 5 پیک, 5 خشت, 9 پیک, 9 دل, 2 گشنیز, 10 خشت, 5 دل, 6 گشنیز, 9 خشت, ملکه گشنیز, 5 گشنیز, 2 خشت, سرباز خشت, 6 پیک, 10 گشنیز, سرباز گشنیز, 7 گشنیز, 8 پیک, 9 گشنیز, 4 گشنیز",خشت,6 پیک,2
12,2,,"ملکه پیک, شاه خشت, 3 پیک, 8 دل, ملکه دل, 3 دل, 3 گشنیز, آس خشت, شاه پیک, 2 پیک, 6 خشت, 7 دل, 8 خشت, 10 پیک, 6 دل, 4 دل, آس گشنیز, سرباز دل, سرباز پیک, 4 خشت, آس پیک, 7 پیک, 7 خشت, شاه گشنیز, 8 گشنیز, 4 پیک, 3 خشت, ملکه خشت, 10 دل, شاه دل, 2 دل, آس دل, 5 پیک, 5 خشت, 9 پیک, 9 دل, 2 گشنیز, 10 خشت, 5 دل, 6 گشنیز, 9 خشت, ملکه گشنیز, 5 گشنیز, 2 خشت, سرباز خشت, 6 پیک, 10 گشنیز, سرباز گشنیز, 7 گشنیز, 8 پیک, 9 گشنیز, 4 گشنیز",خشت,10 گشنیز,2
12,3,,"ملکه پیک, شاه خشت, 3 پیک, 8 دل, ملکه دل, 3 دل, 3 گشنیز, آس خشت, شاه پیک, 2 پیک, 6 خشت, 7 دل, 8 خشت, 10 پیک, 6 دل, 4 دل, آس گشنیز, سرباز دل, سرباز پیک, 4 خشت, آس پیک, 7 پیک, 7 خشت, شاه گشنیز, 8 گشنیز, 4 پیک, 3 خشت, ملکه خشت, 10 دل, شاه دل, 2 دل, آس دل, 5 پیک, 5 خشت, 9 پیک, 9 دل, 2 گشنیز, 10 خشت, 5 دل, 6 گشنیز, 9 خشت, ملکه گشنیز, 5 گشنیز, 2 خشت, سرباز خشت, 6 پیک, 10 گشنیز, سرباز گشنیز, 7 گشنیز, 8 پیک, 9 گشنیز, 4 گشنیز",خشت,سرباز گشنیز,2
13,0,,"ملکه پیک, شاه خشت, 3 پیک, 8 دل, ملکه دل, 3 دل, 3 گشنیز, آس خشت, شاه پیک, 2 پیک, 6 خشت, 7 دل, 8 خشت, 10 پیک, 6 دل, 4 دل, آس گشنیز, سرباز دل, سرباز پیک, 4 خشت, آس پیک, 7 پیک, 7 خشت, شاه گشنیز, 8 گشنیز, 4 پیک, 3 خشت, ملکه خشت, 10 دل, شاه دل, 2 دل, آس دل, 5 پیک, 5 خشت, 9 پیک, 9 دل, 2 گشنیز, 10 خشت, 5 دل, 6 گشنیز, 9 خشت, ملکه گشنیز, 5 گشنیز, 2 خشت, سرباز خشت, 6 پیک, 10 گشنیز, سرباز گشنیز, 7 گشنیز, 8 پیک, 9 گشنیز, 4 گشنیز",خشت,7 گشنیز,0
13,1,,"ملکه پیک, شاه خشت, 3 پیک, 8 دل, ملکه دل, 3 دل, 3 گشنیز, آس خشت, شاه پیک, 2 پیک, 6 خشت, 7 دل, 8 خشت, 10 پیک, 6 دل, 4 دل, آس گشنیز, سرباز دل, سرباز پیک, 4 خشت, آس پیک, 7 پیک, 7 خشت, شاه گشنیز, 8 گشنیز, 4 پیک, 3 خشت, ملکه خشت, 10 دل, شاه دل, 2 دل, آس دل, 5 پیک, 5 خشت, 9 پیک, 9 دل, 2 گشنیز, 10 خشت, 5 دل, 6 گشنیز, 9 خشت, ملکه گشنیز, 5 گشنیز, 2 خشت, سرباز خشت, 6 پیک, 10 گشنیز, سرباز گشنیز, 7 گشنیز, 8 پیک, 9 گشنیز, 4 گشنیز",خشت,8 پیک,0
13,2,,"ملکه پیک, شاه خشت, 3 پیک, 8 دل, ملکه دل, 3 دل, 3 گشنیز, آس خشت, شاه پیک, 2 پیک, 6 خشت, 7 دل, 8 خشت, 10 پیک, 6 دل, 4 دل, آس گشنیز, سرباز دل, سرباز پیک, 4 خشت, آس پیک, 7 پیک, 7 خشت, شاه گشنیز, 8 گشنیز, 4 پیک, 3 خشت, ملکه خشت, 10 دل, شاه دل, 2 دل, آس دل, 5 پیک, 5 خشت, 9 پیک, 9 دل, 2 گشنیز, 10 خشت, 5 دل, 6 گشنیز, 9 خشت, ملکه گشنیز, 5 گشنیز, 2 خشت, سرباز خشت, 6 پیک, 10 گشنیز, سرباز گشنیز, 7 گشنیز, 8 پیک, 9 گشنیز, 4 گشنیز",خشت,9 گشنیز,0
13,3,,"ملکه پیک, شاه خشت, 3 پیک, 8 دل, ملکه دل, 3 دل, 3 گشنیز, آس خشت, شاه پیک, 2 پیک, 6 خشت, 7 دل, 8 خشت, 10 پیک, 6 دل, 4 دل, آس گشنیز, سرباز دل, سرباز پیک, 4 خشت, آس پیک, 7 پیک, 7 خشت, شاه گشنیز, 8 گشنیز, 4 پیک, 3 خشت, ملکه خشت, 10 دل, شاه دل, 2 دل, آس دل, 5 پیک, 5 خشت, 9 پیک, 9 دل, 2 گشنیز, 10 خشت, 5 دل, 6 گشنیز, 9 خشت, ملکه گشنیز, 5 گشنیز, 2 خشت, سرباز خشت, 6 پیک, 10 گشنیز, سرباز گشنیز, 7 گشنیز, 8 پیک, 9 گشنیز, 4 گشنیز",خشت,4 گشنیز,0
1,0,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,5 پیک,0
1,1,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,4 خشت,0
1,2,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,آس خشت,0
1,3,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,شاه خشت,0
2,0,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,7 دل,1
2,1,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,2 خشت,1
2,2,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,سرباز دل,1
2,3,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,10 خشت,1
3,0,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,5 خشت,0
3,1,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,شاه گشنیز,0
3,2,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,4 گشنیز,0
3,3,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,ملکه گشنیز,0
4,0,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,4 دل,2
4,1,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,10 دل,2
4,2,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,9 گشنیز,2
4,3,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,سرباز پیک,2
5,0,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,8 گشنیز,3
5,1,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,6 پیک,3
5,2,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,9 دل,3
5,3,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,7 پیک,3
6,0,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,سرباز گشنیز,2
6,1,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,ملکه دل,2
6,2,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,ملکه پیک,2
6,3,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,6 دل,2
7,0,,"5 پیک, 4 خشت, آس خشت, شاه خشت, 7 دل, 2 خشت, سرباز دل, 10 خشت, 5 خشت, شاه گشنیز, 4 گشنیز, ملکه گشنیز, 4 دل, 10 دل, 9 گشنیز, سرباز پیک, 8 گشنیز, 6 پیک, 9 دل, 7 پیک, سرباز گشنیز, ملکه دل, ملکه پیک, 6 دل, 8 خشت, شاه دل, شاه پیک, 3 دل, 10 گشنیز, 7 خشت, 9 خشت, 6 گشنیز, 2 پیک, 5 دل, 4 پیک, 2 گشنیز, آس گشنیز, 3 گشنیز, 10 پیک, ملکه خشت, آس دل, 8 دل, آس پیک, 3 خشت, 5 گشنیز, 6 خشت, 2 دل, 7 گشنیز, 9 پیک, 3 پیک, سرباز خشت, 8 پیک",پیک,8 خشت,3
